acta2,ap3b1,atp6v1f,c8orf33,cap2,chst4,creb3l2,ctnna1,dap3,dctn2,fam20b,gmfb,gnpat,hgs,hsph1,kpnb1,lage3,lsm2,nol7,parp1,parp12,plod3,plvap,polr2g,psmd4,ptcd1,ptprf,sae1,slc41a3,tfrc,thy1,vwf,znf207
8.888024718,8.543168614,9.287554499,7.670016078,7.248535303,7.383934778,8.027378161,9.641994198,8.810510626,8.711061276,7.986280572,8.504442233,7.876871164,7.887424669,7.988029578,8.620389298,8.40495145,8.998474208,9.478796647,8.798505362,7.49010915,8.182833682,6.545859648,9.357844049,6.59844143,7.425150661,9.253662139,9.490611909,7.365005794,8.715179967,6.250910109,7.809318824,8.119200055
10.05371077,8.821875621,9.914221181,7.999490378,7.581443688,9.422531947,8.425488384,10.08035461,9.138519405,9.27698941,8.239155727,8.435123096,8.152797804,8.302223484,8.048238057,8.547305444,8.649460505,9.490611909,8.85154082,9.328247918,8.995714865,8.695488704,6.810738871,9.781610909,6.325171637,7.515957311,9.003772138,10.09350274,7.89109454,8.308346521,7.906402444,8.970658026,8.519003012
9.859766412,8.513118571,8.994351878,7.68472309,7.054812092,8.372258846,7.995717505,9.750345833,8.403590843,8.413975606,8.094427764,8.496654231,7.851422013,8.5405678,8.234732826,8.858310162,8.083374503,8.841981227,9.477043604,8.988751649,7.454010013,8.10293684,6.714619553,9.264235988,6.427238136,8.029449199,10.03631426,9.268391361,7.977524224,7.872607402,6.343731031,8.341463784,7.81924095
8.701846794,8.534573331,9.287554499,7.670303275,7.458822729,7.275093225,7.835032134,9.835615504,8.891861198,8.825678519,8.125434507,8.662613447,7.958916207,7.722579718,8.148628013,8.481023699,8.543655858,9.105388798,9.005882674,8.940725052,7.471509056,8.281843859,6.929984491,9.463530458,6.334663941,7.6833952,8.627256176,9.38563915,7.536938139,7.970381618,6.222713492,7.856023181,8.092600442
9.66997667,8.614553703,9.933096397,7.62510865,7.195601471,8.895909123,8.486924305,9.730858915,9.094604507,8.957647018,8.355363669,8.518091107,8.203321913,7.648273023,8.124614969,9.155912982,8.518533907,8.414505124,9.142193558,9.087990602,7.503160059,8.617277754,7.184566697,9.573410964,6.690938101,7.647520693,9.253662139,9.4187442,7.886757721,6.78416877,6.440791619,8.420297838,8.071475973
9.594674314,8.449908757,9.005882674,7.541286934,7.053174817,7.407978154,8.285252574,9.64092858,8.63006817,8.586197314,8.318507544,8.423656971,7.656924894,8.425035751,7.98110164,9.219697679,8.15047282,8.965203177,9.698094626,8.941373432,7.119541492,8.409080379,6.981820122,9.175541227,6.742434719,7.951405494,10.49512228,9.479718704,7.921956093,7.527964991,5.926930735,8.157892949,8.008237394
9.288274566,8.18664595,9.377239464,7.626873619,6.808259758,7.407600748,7.884215869,10.2801011,8.199392527,8.893172488,8.11806179,8.554776066,7.673439565,8.642405699,6.977293874,9.135552228,7.285011736,9.442803467,8.72747666,9.0706334,7.411295849,9.279620872,6.880549884,9.443545158,6.581653988,7.99001672,8.645111453,9.441169418,7.69246078,7.384540827,6.298195777,8.428700644,8.355363669
9.566488202,8.87742894,9.650275004,7.612501875,7.330292982,8.56952074,8.113187873,9.981185935,8.732766998,8.921915205,8.049554552,8.501571525,7.828166108,8.05245136,7.992070297,8.853502855,8.209894003,9.094604507,9.03811318,9.144621126,7.913468714,8.353215214,6.916948747,9.292282221,6.501331562,7.477901552,9.243418542,9.53566655,7.627867102,8.41537358,7.176297788,9.52316236,8.110850579
8.820659702,8.222625627,9.168020168,7.760536501,7.261519541,8.784428098,7.665336012,9.995963848,8.58826844,8.715719599,7.854416913,9.338741831,7.895566551,7.724232707,7.983175514,8.855367162,8.022848544,9.504239895,8.744321149,9.093857592,7.835615409,8.340688083,6.579086916,9.196191107,6.473893129,7.727942946,8.72081057,9.255264439,7.458194976,8.263881884,6.744985064,8.812813489,8.570463021
12.34419261,8.508221574,9.575298515,7.377891292,7.591648638,10.02227993,7.926235184,10.24028864,8.533646153,8.532096249,8.074821013,9.164931151,7.586344189,8.567405386,9.074140807,9.327337874,7.943694425,9.295545137,9.671066791,9.22118492,7.75156023,8.733369195,6.776475022,9.179494886,6.553861419,7.738566477,9.321579249,9.644170473,8.123512668,9.007967332,6.664538091,10.53648915,8.357626355
9.308500174,8.686995959,9.414436712,7.512691173,7.320102453,7.591411821,8.70421619,9.967553963,8.909311011,8.750918107,8.461223916,8.31136169,7.524000022,8.721925675,7.73131605,9.232112798,7.963404315,8.644051525,8.895909123,9.049301363,8.612956452,8.943310289,6.824601588,8.878000508,6.469052112,8.115840071,9.685580294,9.209151639,7.838991293,9.581950052,6.178069458,8.135442824,8.124614969
8.611344085,8.681791628,9.407558467,7.567482766,7.30481024,7.543363092,8.344687284,9.382355028,8.829898854,8.811090519,8.182833682,8.428700644,7.917929505,7.611985553,8.754500704,8.782702446,8.544563533,8.558799181,9.505181562,8.79603918,7.523500494,8.205779308,6.729603477,9.33465456,6.609802393,7.076963297,9.568346757,9.312575953,7.528220616,8.394765127,6.313036431,7.058925392,7.996389358
10.67750812,8.572026687,9.550605159,7.728501088,7.417002685,8.995714865,8.314079636,9.985991114,8.54107375,8.902268396,8.113561428,8.798505362,7.698332046,8.54679309,8.113931,9.238530359,7.81389182,9.212168475,9.852860814,8.888024718,7.873860607,8.501571525,7.126756988,9.37299299,6.573911531,7.888596353,9.790583179,9.684583831,8.135098353,7.047315959,6.997926712,10.91642759,8.038523403
9.04027277,8.858310162,9.59378497,7.494693452,7.20514833,7.813572854,8.003741503,9.78271588,8.865662112,8.728673451,8.063641748,8.616184525,7.995717505,7.916028846,8.525974853,9.014238287,8.433797257,8.729326863,9.333742063,9.106835719,7.710218237,8.550740916,6.716237443,9.100243908,6.62284049,7.653020886,9.000499774,9.387958412,7.403151634,8.641857125,6.547844226,7.577812847,7.98110164
10.12439407,7.627606238,9.086534221,7.037801612,6.413321553,6.569082127,8.166977008,9.171000756,8.682370449,8.687524131,8.184278849,7.853240743,7.538819668,7.961640554,7.667731753,8.819404024,7.966117682,8.014662878,9.46625312,8.499713565,6.572388049,8.460247906,6.669963161,9.242602819,6.334377465,7.749859809,9.275550624,8.802215871,7.590904937,10.04995663,6.099672515,7.916028846,7.087543145
8.827570214,8.38301796,9.470088887,7.555512452,6.662850147,7.841128235,8.230594571,9.69073926,8.991606277,8.72081057,8.182075628,8.267240099,7.796097534,7.844452127,8.115084311,8.127674809,8.370839776,9.490611909,8.633358148,9.0826801,7.470679411,8.215308304,6.397806075,9.538360408,6.629318687,7.892995198,8.673178486,9.054035573,7.914060423,7.772129138,6.054865987,8.476705301,7.74023048
